allele	asc_allele	threshold	tag	duplicated
IGKJ1-4MLF*00	IGKJ1-G1*01	0.001	J	IGKJ2*03
IGKJ1-7J54*00	IGKJ2-G2*01	0.001	J	IGKJ5*01
IGKJ1-DW36*00	IGKJ3-G3*01	0.001	J	IGKJ4*01
IGKJ1-KMK4*00	IGKJ3-G4*01	0.001	J	IGKJ3*01
IGKJ1-L5VN*00	IGKJ1-G1*02	0.001	J	IGKJ2*01
IGKJ1-OR4L*00	IGKJ1-G5*01	0.001	J	IGKJ1*01
IGKJ1-XGPT*00	IGKJ1-G1*03	0.001	J	IGKJ2*04
IGKV1-2QSS*00	IGKV1-G1*01	0.001	V	IGKV2D-26*03
IGKV1-3KJV*00	IGKV2-G2*01	0.001	V	IGKV1D-17*01
IGKV1-3ROV*00	IGKV2-G3*01	0.001	V	IGKV1-5*05
IGKV1-3YIK*00	IGKV1-G4*01	0.001	V	IGKV2D-29*02
IGKV1-5FLY*00	IGKV2-G5*01	0.001	V	IGKV1-33*01/IGKV1D-33*01
IGKV1-5JWZ*00	IGKV3-G6*01	0.001	V	IGKV3D-11*02
IGKV1-5S33*00	IGKV2-G3*02	0.001	V	IGKV1-5*03
IGKV1-6427*00	IGKV2-G7*01	0.001	V	IGKV1-13*01
IGKV1-6IVJ*00	IGKV2-G8*01	0.001	V	IGKV1-17*01
IGKV1-6KDS*00	IGKV1-G9*01	0.001	V	IGKV2-28*01/IGKV2D-28*01
IGKV1-73QK*00	IGKV2-G10*01	0.001	V	IGKV1-8*03
IGKV1-7LAB*00	IGKV3-G11*01	0.001	V	IGKV3D-15*01
IGKV1-7OEY*00	IGKV2-G12*01	0.001	V	IGKV1-6*01
IGKV1-AJK6*00	IGKV2-G13*01	0.001	V	IGKV1D-8*02
IGKV1-AKLM*00	IGKV2-G3*03	0.001	V	IGKV1-5*01
IGKV1-BARV*00	IGKV3-G11*02	0.001	V	IGKV3-15*01
IGKV1-BFGY*00	IGKV3-G14*01	0.001	V	IGKV3-7*04
IGKV1-BGO2*00	IGKV2-G3*04	0.001	V	IGKV1-5*04
IGKV1-BYB4*00	IGKV2-G15*01	0.001	V	IGKV1-39*01/IGKV1D-39*01
IGKV1-CLHI*00	IGKV2-G16*01	0.001	V	IGKV1D-42*02
IGKV1-CSFW*00	IGKV1-G4*02	0.001	V	IGKV2-29*01
IGKV1-CY6M*00	IGKV1-G17*01	0.001	V	IGKV2D-18*01
IGKV1-DDJM*00	IGKV2-G13*02	0.001	V	IGKV1D-8*01
IGKV1-DRYM*00	IGKV2-G2*02	0.001	V	IGKV1-17*03
IGKV1-EHVP*00	IGKV2-G18*01	0.001	V	IGKV1D-16*02
IGKV1-GTEU*00	IGKV4-G19*01	0.001	V	IGKV6D-41*01
IGKV1-H43N*00	IGKV2-G20*01	0.001	V	IGKV1-9*01
IGKV1-HJ6M*00	IGKV1-G21*01	0.001	V	IGKV2-40*01/IGKV2D-40*01
IGKV1-HR6I*00	IGKV1-G22*01	0.001	V	IGKV2D-30*01
IGKV1-HTLR*00	IGKV2-G10*02	0.001	V	IGKV1-8*02
IGKV1-IYDG*00	IGKV2-G16*02	0.001	V	IGKV1D-42*01
IGKV1-J6E5*00	IGKV1-G23*01	0.001	V	IGKV2D-24*01
IGKV1-JBZ7*00	IGKV3-G6*02	0.001	V	IGKV3-11*01
IGKV1-KCBO*00	IGKV2-G24*01	0.001	V	IGKV1-27*01
IGKV1-KCFB*00	IGKV2-G18*02	0.001	V	IGKV1-16*02
IGKV1-L2WS*00	IGKV3-G6*03	0.001	V	IGKV3D-11*01
IGKV1-LUPI*00	IGKV1-G4*03	0.001	V	IGKV2D-29*01
IGKV1-LXJ7*00	IGKV1-G23*02	0.001	V	IGKV2-24*02
IGKV1-NCDD*00	IGKV1-G22*02	0.001	V	IGKV2-30*01
IGKV1-NVE7*00	IGKV2-G25*01	0.001	V	IGKV1-NL1*01
IGKV1-OCXW*00	IGKV2-G24*02	0.001	V	IGKV1-27*02
IGKV1-OFBY*00	IGKV2-G10*03	0.001	V	IGKV1-8*01
IGKV1-OZKF*00	IGKV3-G26*01	0.001	V	IGKV3-20*01
IGKV1-Q2XA*00	IGKV5-G27*01	0.001	V	IGKV4-1*02
IGKV1-QU3G*00	IGKV4-G28*01	0.001	V	IGKV6-21*01/IGKV6D-21*01
IGKV1-QZHR*00	IGKV5-G27*02	0.001	V	IGKV4-1*01
IGKV1-R3VT*00	IGKV1-G22*03	0.001	V	IGKV2-30*02
IGKV1-RBBT*00	IGKV3-G26*02	0.001	V	IGKV3D-20*01
IGKV1-RRTI*00	IGKV6-G29*01	0.001	V	IGKV5-2*01
IGKV1-TMQX*00	IGKV2-G20*02	0.001	V	IGKV1-9*02
IGKV1-U2XW*00	IGKV2-G30*01	0.001	V	IGKV1D-43*01
IGKV1-U3RK*00	IGKV2-G18*03	0.001	V	IGKV1D-16*01
IGKV1-UH7F*00	IGKV4-G28*02	0.001	V	IGKV6D-21*02
IGKV1-UHSR*00	IGKV1-G23*03	0.001	V	IGKV2-24*01
IGKV1-UUA4*00	IGKV2-G31*01	0.001	V	IGKV1-12*01
IGKV1-UVMF*00	IGKV6-G29*02	0.001	V	IGKV5-2*02
IGKV1-VBCA*00	IGKV3-G11*03	0.001	V	IGKV3D-15*03
IGKV1-VEGA*00	IGKV2-G31*02	0.001	V	IGKV1D-12*01
IGKV1-VOEC*00	IGKV1-G17*02	0.001	V	IGKV2-18*01
IGKV1-WSHW*00	IGKV1-G4*04	0.001	V	IGKV2-29*02
IGKV1-XQIR*00	IGKV3-G14*02	0.001	V	IGKV3D-7*01
IGKV1-XXQP*00	IGKV4-G28*03	0.001	V	IGKV6-21*02
IGKV1-ZGXH*00	IGKV2-G7*02	0.001	V	IGKV1D-13*02
IGKV1-ZRUK*00	IGKV2-G13*03	0.001	V	IGKV1D-8*04
